etnia,United States!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,Florida!!Estimate,Georgia!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New York!!Estimate,North Carolina!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,Virginia!!Estimate,año
comunidad asiatica,14728302,134338,27482,452580,316098,319965,353211,28125,725077,1433875,211705,30939,53658,438003,2010
Total:,309349689,3577073,899769,18843326,9712587,5785982,6557254,1316759,8801624,19392283,9561558,1052886,4636312,8024617,2010
comunidad asiatica,15020419,141081,29930,463164,322841,329770,365968,29002,747620,1447760,211328,33235,63356,455242,2011
Total:,311591919,3580709,907135,19057542,9815210,5828289,6587536,1318194,8821155,19465197,9656401,1051302,4679230,8096604,2011
comunidad asiatica,15555530,147830,30632,488052,337015,339527,381262,29743,775176,1498346,227727,33814,59956,469669,2012
Total:,313914040,3590347,917092,19317568,9919945,5884563,6646144,1320718,8864590,19570261,9752073,1050292,4723723,8185867,2012
comunidad asiatica,16012120,147570,33639,509588,355900,354430,388317,31156,801879,1554980,238502,33240,65048,484497,2013
Total:,316128839,3596080,925749,19552860,9992167,5928814,6692824,1323459,8899339,19651127,9848060,1051511,4774839,8260405,2013
comunidad asiatica,16686960,151402,36172,524583,371688,369996,413079,33974,827493,1613255,246721,35676,68976,510871,2014
Total:,318857056,3596677,935614,19893297,10097343,5976407,6745408,1326813,8938175,19746227,9943964,1055173,4832482,8326289,2014
comunidad asiatica,17273777,156249,36114,544068,388457,385167,430739,34014,849240,1672186,268322,35540,70342,524476,2015
Total:,321418821,3590886,945934,20271272,10214860,6006401,6794422,1330608,8958013,19795791,10042802,1056298,4896146,8382993,2015
comunidad asiatica,17556935,161950,35646,559393,398897,376518,440845,32679,854181,1668036,275428,36875,76870,532320,2016
Total:,323127515,3576452,952065,20612439,10310371,6016447,6811779,1334795,8944469,19745289,10146788,1056426,4961119,8411808,2016
comunidad asiatica,18215328,163924,38930,588087,410915,391328,452717,35663,886261,1734663,295672,38058,76181,545776,2017
Total:,325719178,3588184,961939,20984400,10429379,6052177,6859819,1342795,9005644,19849399,10273419,1059639,5024369,8470020,2017
comunidad asiatica,18415198,165855,39023,593634,436051,378985,472403,36048,868213,1666113,306682,36064,80969,555422,2018
Total:,327167439,3572665,967171,21299325,10519475,6042718,6902149,1356458,8908520,19542209,10383620,1057315,5084127,8517685,2018
comunidad asiatica,18636984,166393,36592,599799,439416,386194,472895,35807,856561,1680219,309905,37101,86571,565643,2019
Total:,328239523,3565287,973764,21477737,10617423,6045680,6892503,1359711,8882190,19453561,10488084,1059361,5148714,8535519,2019
comunidad asiatica,18421637,163262,38528,590668,434603,384429,466044,36581,857873,1674216,308958,36536,83573,570398,2020
Total:,326569308,3570549,967679,21216924,10516579,6037624,6873003,1355244,8885418,19514849,10386227,1057798,5091517,8509358,2020
comunidad asiatica,19157288,172878,41066,620260,465880,407982,493647,36422,925055,1727826,325011,34144,85953,586231,2021
Total:,331893745,3605597,1003384,21781128,10799566,6165129,6984723,1388992,9267130,19835913,10551162,1095610,5190705,8642274,2021
comunidad asiatica,19696980,175069,41501,640512,485027,404207,504908,36649,934091,1791490,345105,38734,90557,610671,2022
Total:,333287562,3626205,1018396,22244823,10912876,6164660,6981974,1395231,9261699,19677151,10698973,1093734,5282634,8683619,2022
